Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Core Type","Inductance Factor (Al)","Tolerance","Gap","Effective Permeability (µe)","Initial Permeability (µi)","Material","Core Factor (ΣI/A) mm<sup>1</sup>","Effective Length (le) mm","Effective Area (Ae) mm²","Minimum Core Cross Section (Amin) mm²","Effective Magnetic Volume (Ve) mm³","Finish","Supplier Device Package","Height","Length","Width","Diameter"
https://product.tdk.com/info/en/documents/data_sheet/etd_34_17_11.pdf,-,B66361G0000X195-ND,B66361G0000X195,EPCOS (TDK),FERRITE CORES,0,0,"0.57400","0","600","*","Active","ETD","-","-20%, +30%","Ungapped","2170","-","N95","0.81","78.6","97.1","91.6","7630","Uncoated","ETD 34/17/11","17.50mm","34.00mm","11.10mm","-"
https://product.tdk.com/info/en/documents/data_sheet/ev_30_16_13.pdf,-,B66432G0000X187-ND,B66432G0000X187,EPCOS (TDK),FERRITE CORE EV N87 1PC,0,0,"0.58467","0","1350","B66432","Active","EV","-","-","Ungapped","-","-","N87","-","-","-","-","-","Uncoated","EV 30 x 16 x 13","16.40mm","29.70mm","12.50mm","-"
https://product.tdk.com/info/en/documents/data_sheet/ep_13.pdf,-,B65843A0000Y066-ND,B65843A0000Y066,EPCOS (TDK),FERRITE CORE EP 8.5UH T66 2PCS,0,0,"0.59360","0","500","B65843A","Active","EP","8.5µH","-30%, +40%","Ungapped","8400","13000","T66","1.24","24.2","19.5","14.9","472","Uncoated","EP 13","6.50mm","12.80mm","9.00mm","-"
https://product.tdk.com/info/en/documents/data_sheet/epx_10.pdf,-,B65859A0000Y038-ND,B65859A0000Y038,EPCOS (TDK),FERRITE CORE EPX 6.1UH T38 2PCS,0,0,"0.60781","0","1000","B65859","Active","EPX","6.1µH","-30%, +40%","Ungapped","6630","2300","T38","1.37","21.7","15.9","13.2","345","Uncoated","EPX 10","5.20mm","11.80mm","7.85mm","-"
https://product.tdk.com/info/en/documents/data_sheet/etd_34_17_11.pdf,-,B66361G0000X197-ND,B66361G0000X197,EPCOS (TDK),FERRITE CORES,0,0,"0.63000","0","600","*","Active","ETD","-","-20%, +30%","Ungapped","1710","-","N97","0.81","78.6","97.1","91.6","7630","Uncoated","ETD 34/17/11","17.50mm","34.00mm","11.10mm","-"
-,-,B66432G0000X195-ND,B66432G0000X195,EPCOS (TDK),FERRITE CORES,0,0,"0.69300","0","900","*","Active","EV","-","-20%, +30%","Ungapped","2104","-","N95","0.76","74.8","99","95","7410","Uncoated","EV 30/16/13","16.40mm","29.70mm","12.50mm","-"
https://product.tdk.com/info/en/documents/data_sheet/ep_17.pdf,-,B65845J0000R087-ND,B65845J0000R087,EPCOS (TDK),FERRITE CORE EP 2.4UH N87 2PCS,0,0,"0.78720","0","200","B65845","Active","EP","2.4µH","-20%, +30%","Ungapped","1600","2200","N87","0.84","28.5","33.9","25.5","966","Uncoated","EP 17","8.50mm","18.40mm","11.25mm","-"
https://product.tdk.com/info/en/documents/data_sheet/ep_17.pdf,-,B65845J0000R030-ND,B65845J0000R030,EPCOS (TDK),FERRITE CORE EP 4.3UH N30 2PCS,0,0,"0.89590","0","200","B65845","Active","EP","4.3µH","-20%, +30%","Ungapped","2870","4300","N30","0.84","28.5","33.9","25.5","966","Uncoated","EP 17","8.50mm","18.40mm","11.25mm","-"
https://product.tdk.com/info/en/documents/data_sheet/eq_30.pdf,-,495-75546-ND,B66506G0000X195,EPCOS (TDK),FERRITE CORE EQ N95 1PC,0,0,"0.90450","0","864","B66506","Active","EQ","-","-","Ungapped","-","-","N95","-","-","-","-","-","Uncoated","EQ 30 x 8","8.00mm","30.00mm","20.00mm","-"
https://en.tdk.eu/inf/80/db/fer/e_42_21_15.pdf,-,B66325G0000X130-ND,B66325G0000X130,EPCOS (TDK),FERRITE CORE E N30 1PC,0,0,"0.93285","0","624","B66325","Active","E","-","-","Ungapped","-","-","N30","-","-","-","-","-","Uncoated","E 42 x 21 x 15","21.20mm","42.00mm","15.20mm","-"
https://en.tdk.eu/inf/80/db/fer/e_40_16_12.pdf,-,B66381G0000X187-ND,B66381G0000X187,EPCOS (TDK),FERRITE CORE E N87 1PC,0,0,"0.93671","0","416","B66381","Active","E","-","-","Ungapped","-","-","N87","-","-","-","-","-","Uncoated","E 40 x 16 x 12","16.50mm","40.60mm","12.50mm","-"
https://product.tdk.com/info/en/documents/data_sheet/er_35_20_11.pdf,-,B66350G0000X187-ND,B66350G0000X187,EPCOS (TDK),FERRITE CORE ER N87 1PC,0,0,"1.06000","0","1","*","Active","ER","-","-20%, +30%","Ungapped","1735","-","N87","0.81","89.6","111","101","9950","Uncoated","ER 35 x 20 x 11","20.70mm","35.00mm","11.30mm","-"
